Station,StdAggComposite,StdAggNina,StdAggNino,StdAggNeutral
21200600,229.4846928535506,300.23158570434884,219.05227375042995,147.14691360851143
21200620,254.67080666530882,260.68689134121047,209.48358236467814,257.55515871637385
21200690,422.97696918425214,541.7771626857979,399.6466343394997,311.7999105371657
21200740,341.13872581962295,277.8853756096314,365.64309773373765,321.7816874111542
21200750,97.84941031398118,109.4225315453612,75.65193756320545,73.9027223819473
21200770,324.58954922113605,185.478115724162,285.87129374599783,395.0144942099353
21200780,180.7665934798338,190.88672045075782,216.04263304323217,127.37905666481801
21200850,369.08312895767403,354.44218465513507,344.5934768808559,372.25887200784166
21200880,141.67117272872682,124.58192504031258,119.9424264153797,147.23482695371396
21200960,128.21565701043795,122.55574234346082,92.18275994595845,128.73649883388353
21201030,324.3788966999695,321.29286760227757,377.8910378112362,291.06226689865963
21201040,176.87070944682483,214.02730597544834,150.17358844500816,138.0007555936514
21201050,196.59260411959676,243.13003031147974,174.25374752919146,116.73431473661644
21201060,238.53638326371885,253.03835651206282,253.90730464240588,167.455461826867
21201070,229.6696645463964,281.5229669737022,181.2883098593617,183.47418519777364
21201100,293.323499918842,274.5332852148739,395.67375077208703,222.84534293588652
21201110,241.14408323228858,103.57458859154443,149.8029375507507,340.0011849819225
21201140,221.6566824709347,242.0353970023392,136.99040379823725,202.7714581326029
21201180,181.8812837769495,196.86386970952842,148.6685103073371,149.77589159751128
21201190,160.15611818775164,160.94740517670144,148.35540984721905,123.3987167547734
21201200,265.71381899712986,323.9131987463348,181.24053070971817,257.02159196535655
21201210,158.48893676257242,184.41265031677816,138.40914184205658,91.66555949332172
21201240,137.3487835122021,175.49331378776984,61.455164052805415,111.6308628057947
21201250,153.01947157130556,187.77984862760948,124.37887922943027,120.37248521163546
21201260,349.49437123390146,372.3371975735419,271.91389527943613,289.1757180150802
21201270,155.1675617528771,163.70635848281148,146.52846950457777,93.40437262835115
